ID|Mesa|Mesero|Platillo|Cantidad|PrecioUnitario|Total|Hora
001|14|Jahaziel|Enchiladas|3|90|270|08:31
002|3|Alex|Enchiladas|3|90|270|14:16
003|6|Zenqu|Tamales|5|20|100|15:02
004|10|Alex|Gordas|3|30|90|11:22
005|4|Torres|Gordas|2|30|60|08:30
006|3|Torres|Tamales|1|20|20|08:20
007|3|Zenqu|Tamales|5|20|100|20:54
008|7|Zenqu|Gordas|2|30|60|09:39
009|8|Torres|Enchiladas|1|90|90|16:44
010|15|Zenqu|Quesadillas|2|35|70|16:35
011|13|Torres|Enchiladas|3|90|270|09:53
012|13|Alex|Quesadillas|4|35|140|15:37
013|5|Jahaziel|Enchiladas|3|90|270|11:19
014|13|Alex|Gordas|4|30|120|14:30
015|15|Zenqu|Tamales|4|20|80|20:47
016|10|Jahaziel|Gordas|4|30|120|21:36
017|14|Torres|Enchiladas|2|90|180|10:32
018|5|Zenqu|Quesadillas|1|35|35|21:34
019|1|Zenqu|Enchiladas|3|90|270|08:10
020|15|Jahaziel|Gordas|3|30|90|14:56
021|11|Zenqu|Enchiladas|4|90|360|13:40
022|1|Zenqu|Quesadillas|2|35|70|11:00
023|6|Alex|Quesadillas|3|35|105|16:45
024|6|Alex|Gordas|2|30|60|10:09
025|11|Torres|Tamales|1|20|20|16:55
026|1|Jahaziel|Enchiladas|3|90|270|21:28
027|11|Zenqu|Tamales|3|20|60|21:53
028|10|Zenqu|Tamales|1|20|20|13:51
029|7|Jahaziel|Quesadillas|2|35|70|21:21
030|6|Torres|Gordas|1|30|30|14:19
031|4|Jahaziel|Tacos|3|25|75|10:00
032|12|Torres|Enchiladas|2|90|180|15:43
033|10|Alex|Enchiladas|4|90|360|08:00
034|5|Zenqu|Quesadillas|2|35|70|20:53
035|9|Alex|Tacos|3|25|75|14:08
036|7|Zenqu|Gordas|3|30|90|11:37
037|7|Zenqu|Tamales|2|20|40|18:39
038|10|Jahaziel|Tamales|1|20|20|17:54
039|2|Zenqu|Gordas|4|30|120|20:35
040|10|Alex|Gordas|4|30|120|08:00
041|7|Torres|Quesadillas|4|35|140|14:26
042|1|Zenqu|Quesadillas|4|35|140|08:55
043|10|Torres|Tamales|4|20|80|08:35
044|14|Torres|Tacos|5|25|125|13:53
045|14|Jahaziel|Tamales|5|20|100|14:50
046|12|Zenqu|Quesadillas|2|35|70|14:00
047|7|Jahaziel|Enchiladas|3|90|270|20:28
048|15|Torres|Tamales|3|20|60|11:49
049|6|Zenqu|Tamales|5|20|100|14:42
050|9|Alex|Tamales|2|20|40|08:58
051|5|Jahaziel|Gordas|2|30|60|20:15
052|13|Alex|Quesadillas|2|35|70|12:13
053|8|Zenqu|Enchiladas|5|90|450|17:56
054|14|Alex|Quesadillas|3|35|105|19:34
055|4|Zenqu|Tamales|3|20|60|19:10
056|11|Torres|Tacos|4|25|100|08:45
057|4|Zenqu|Enchiladas|4|90|360|13:15
058|12|Jahaziel|Quesadillas|1|35|35|12:22
059|6|Torres|Gordas|5|30|150|11:06
060|1|Torres|Gordas|1|30|30|21:35
061|14|Alex|Tacos|1|25|25|09:32
062|7|Jahaziel|Enchiladas|5|90|450|15:43
063|2|Alex|Tacos|5|25|125|16:16
064|15|Jahaziel|Gordas|5|30|150|12:58
065|2|Alex|Enchiladas|3|90|270|19:21
066|2|Jahaziel|Enchiladas|1|90|90|08:57
067|15|Torres|Tamales|2|20|40|21:25
068|5|Zenqu|Tacos|4|25|100|21:13
069|13|Jahaziel|Tamales|2|20|40|12:39
070|1|Zenqu|Quesadillas|3|35|105|19:26
071|5|Alex|Enchiladas|2|90|180|18:00
072|13|Alex|Quesadillas|4|35|140|10:08
073|4|Alex|Enchiladas|1|90|90|13:11
074|6|Torres|Quesadillas|3|35|105|15:01
075|7|Jahaziel|Gordas|1|30|30|18:41
076|12|Zenqu|Gordas|5|30|150|18:09
077|9|Jahaziel|Enchiladas|3|90|270|15:53
078|15|Torres|Tacos|4|25|100|12:07
079|11|Zenqu|Quesadillas|2|35|70|12:27
080|10|Torres|Tacos|2|25|50|09:06
081|11|Alex|Gordas|4|30|120|13:21
082|3|Torres|Tamales|5|20|100|20:29
083|9|Alex|Quesadillas|3|35|105|08:41
084|10|Torres|Tamales|2|20|40|12:03
085|9|Alex|Tamales|4|20|80|18:46
086|12|Jahaziel|Tacos|4|25|100|09:43
087|5|Alex|Tacos|1|25|25|12:32
088|13|Zenqu|Tacos|3|25|75|13:11
089|6|Alex|Gordas|5|30|150|09:24
090|6|Jahaziel|Enchiladas|1|90|90|11:59
091|12|Torres|Quesadillas|5|35|175|20:24
092|4|Alex|Tamales|4|20|80|18:44
093|12|Zenqu|Quesadillas|5|35|175|20:02
094|6|Jahaziel|Tamales|2|20|40|16:36
095|1|Alex|Quesadillas|3|35|105|12:29
096|8|Zenqu|Enchiladas|1|90|90|18:23
097|13|Jahaziel|Enchiladas|5|90|450|09:51
098|7|Alex|Tamales|2|20|40|13:09
099|4|Alex|Quesadillas|3|35|105|20:51
100|13|Alex|Gordas|5|30|150|17:02
101|15|Zenqu|Tacos|5|25|125|15:07
102|7|Zenqu|Tacos|1|25|25|13:42
103|6|Zenqu|Enchiladas|4|90|360|10:48
104|4|Alex|Tamales|2|20|40|11:07
105|9|Alex|Tacos|4|25|100|18:37
106|6|Jahaziel|Tacos|5|25|125|20:04
107|10|Torres|Enchiladas|5|90|450|19:45
108|12|Zenqu|Quesadillas|5|35|175|16:51
109|13|Alex|Tamales|2|20|40|15:59
110|14|Jahaziel|Enchiladas|3|90|270|11:53
111|4|Zenqu|Gordas|5|30|150|14:21
112|6|Zenqu|Quesadillas|5|35|175|14:58
113|5|Torres|Enchiladas|1|90|90|14:18
114|4|Alex|Tamales|2|20|40|16:47
115|5|Zenqu|Quesadillas|1|35|35|08:15
116|4|Jahaziel|Quesadillas|1|35|35|15:59
117|3|Jahaziel|Tamales|3|20|60|15:40
118|10|Zenqu|Enchiladas|1|90|90|14:07
119|6|Alex|Quesadillas|2|35|70|18:19
120|4|Zenqu|Gordas|2|30|60|13:19
121|10|Jahaziel|Enchiladas|5|90|450|21:27
122|11|Zenqu|Gordas|5|30|150|18:04
123|7|Zenqu|Gordas|4|30|120|21:52
124|3|Alex|Tacos|5|25|125|14:54
125|5|Torres|Quesadillas|3|35|105|12:38
126|8|Torres|Quesadillas|5|35|175|13:37
127|3|Alex|Quesadillas|4|35|140|17:12
128|9|Torres|Enchiladas|4|90|360|08:30
129|9|Torres|Tacos|2|25|50|12:26
130|13|Torres|Enchiladas|2|90|180|11:57
131|1|Jahaziel|Quesadillas|1|35|35|13:57
132|9|Alex|Gordas|5|30|150|08:06
133|9|Zenqu|Enchiladas|2|90|180|20:05
134|5|Alex|Tamales|2|20|40|18:51
135|5|Alex|Tacos|5|25|125|12:45
136|13|Jahaziel|Gordas|4|30|120|18:01
137|8|Alex|Enchiladas|5|90|450|09:13
138|6|Torres|Enchiladas|1|90|90|14:23
139|7|Torres|Tacos|5|25|125|21:11
140|15|Alex|Tamales|4|20|80|10:51
141|1|Alex|Gordas|1|30|30|21:52
142|6|Torres|Gordas|3|30|90|21:17
143|1|Torres|Enchiladas|5|90|450|17:11
144|15|Zenqu|Tacos|5|25|125|19:53
145|13|Alex|Tacos|5|25|125|12:39
146|4|Jahaziel|Tamales|5|20|100|16:43
147|2|Torres|Enchiladas|4|90|360|09:13
148|10|Jahaziel|Tamales|4|20|80|18:41
149|2|Jahaziel|Quesadillas|3|35|105|19:03
150|10|Alex|Tacos|1|25|25|11:10
151|5|Torres|Quesadillas|3|35|105|15:54
152|7|Jahaziel|Enchiladas|1|90|90|09:14
153|6|Zenqu|Enchiladas|3|90|270|12:26
154|11|Torres|Tacos|2|25|50|15:20
155|11|Jahaziel|Tacos|5|25|125|08:00
156|4|Alex|Tamales|5|20|100|12:43
157|3|Torres|Quesadillas|4|35|140|13:10
158|2|Jahaziel|Tamales|4|20|80|14:41
159|5|Alex|Tamales|5|20|100|09:30
160|5|Jahaziel|Tacos|4|25|100|15:32
161|6|Zenqu|Tacos|3|25|75|20:10
162|14|Zenqu|Gordas|1|30|30|17:35
163|1|Zenqu|Tamales|2|20|40|19:47
164|8|Zenqu|Tacos|1|25|25|17:14
165|8|Jahaziel|Enchiladas|1|90|90|09:14
166|8|Zenqu|Enchiladas|2|90|180|15:24
167|13|Jahaziel|Gordas|1|30|30|10:27
168|5|Jahaziel|Tacos|2|25|50|09:45
169|6|Torres|Tacos|5|25|125|18:10
170|11|Zenqu|Gordas|5|30|150|14:14
171|8|Torres|Tamales|1|20|20|09:06
172|3|Alex|Gordas|2|30|60|10:52
173|7|Jahaziel|Tacos|4|25|100|09:38
174|8|Zenqu|Gordas|1|30|30|18:32
175|7|Zenqu|Quesadillas|2|35|70|16:15
176|8|Alex|Enchiladas|2|90|180|17:01
177|1|Torres|Tamales|4|20|80|20:53
178|5|Alex|Enchiladas|1|90|90|19:16
179|10|Zenqu|Tamales|1|20|20|18:00
180|12|Zenqu|Quesadillas|4|35|140|21:20
181|6|Jahaziel|Quesadillas|1|35|35|17:08
182|3|Zenqu|Gordas|5|30|150|20:45
183|4|Zenqu|Quesadillas|4|35|140|13:12
184|12|Alex|Gordas|3|30|90|13:31
185|11|Torres|Enchiladas|1|90|90|18:48
186|10|Zenqu|Enchiladas|4|90|360|08:25
187|14|Jahaziel|Quesadillas|1|35|35|16:54
188|14|Alex|Tamales|2|20|40|18:02
189|4|Alex|Tamales|1|20|20|11:50
190|10|Torres|Gordas|1|30|30|21:45
191|2|Jahaziel|Enchiladas|1|90|90|12:04
192|12|Jahaziel|Tacos|5|25|125|14:25
193|13|Jahaziel|Gordas|1|30|30|08:40
194|10|Torres|Gordas|2|30|60|15:56
195|2|Zenqu|Tamales|2|20|40|16:15
196|4|Zenqu|Gordas|5|30|150|15:09
197|14|Zenqu|Tamales|3|20|60|13:10
198|6|Alex|Gordas|4|30|120|18:44
199|9|Jahaziel|Tamales|5|20|100|20:24
200|12|Zenqu|Tacos|1|25|25|11:17
201|4|Torres|Enchiladas|3|90|270|09:44
202|14|Jahaziel|Quesadillas|5|35|175|11:54
203|7|Torres|Tamales|1|20|20|15:46
204|2|Zenqu|Tamales|4|20|80|21:20
205|1|Alex|Gordas|1|30|30|17:37
206|14|Jahaziel|Enchiladas|2|90|180|19:00
207|9|Jahaziel|Enchiladas|4|90|360|16:30
208|11|Zenqu|Enchiladas|3|90|270|11:45
209|10|Torres|Enchiladas|5|90|450|08:46
210|14|Torres|Tacos|3|25|75|20:41
211|6|Jahaziel|Quesadillas|1|35|35|19:47
212|3|Zenqu|Tacos|4|25|100|19:02
213|15|Jahaziel|Gordas|3|30|90|10:32
214|8|Torres|Gordas|5|30|150|13:11
215|14|Jahaziel|Gordas|1|30|30|17:32
216|9|Alex|Enchiladas|2|90|180|13:47
217|15|Zenqu|Enchiladas|5|90|450|08:59
218|5|Zenqu|Tamales|4|20|80|15:17
219|5|Alex|Tamales|2|20|40|18:51
220|1|Torres|Quesadillas|3|35|105|17:05
221|6|Alex|Quesadillas|4|35|140|14:56
222|12|Jahaziel|Tamales|1|20|20|10:14
223|12|Alex|Quesadillas|4|35|140|17:06
224|9|Jahaziel|Enchiladas|5|90|450|19:40
225|1|Zenqu|Gordas|5|30|150|17:39
226|9|Jahaziel|Tacos|4|25|100|08:31
227|1|Zenqu|Tacos|5|25|125|16:27
228|9|Zenqu|Tamales|5|20|100|17:34
229|8|Jahaziel|Quesadillas|2|35|70|12:30
230|4|Torres|Tamales|4|20|80|13:07
231|11|Zenqu|Tamales|2|20|40|19:37
232|11|Torres|Enchiladas|2|90|180|15:47
233|10|Torres|Quesadillas|5|35|175|16:27
234|10|Jahaziel|Tamales|5|20|100|12:09
